chunk_id,boundary_type,loc_start,loc_end,est_size,notes
c065,section,p202,p203,~1120tok,"ch7 EXTENSION; page-bounded slice at §-boundary, <=fallback"
c066,section,p204,p205,~1120tok,"ch7 EXTENSION; page-bounded slice at §-boundary, <=fallback"
c067,section,p206,p207,~1120tok,"ch7 EXTENSION; page-bounded slice at §-boundary, <=fallback"
c068,section,p208,p209,~1120tok,"ch7 EXTENSION; page-bounded slice at §-boundary, <=fallback"
c069,section,p210,p211,~1120tok,"ch7 EXTENSION; page-bounded slice at §-boundary, <=fallback"
c070,section,p212,p213,~1120tok,"ch7 EXTENSION; page-bounded slice at §-boundary, <=fallback"
c071,section,p214,p215,~1120tok,"ch7 EXTENSION; page-bounded slice at §-boundary, <=fallback"
c072,section,p216,p217,~1120tok,"ch7 EXTENSION; page-bounded slice at §-boundary, <=fallback"
c073,section,p218,p219,~1120tok,"ch7 EXTENSION; page-bounded slice at §-boundary, <=fallback"
c074,section,p220,p221,~1120tok,"ch7 EXTENSION; page-bounded slice at §-boundary, <=fallback"
c075,section,p222,p223,~1120tok,"ch7 EXTENSION; page-bounded slice at §-boundary, <=fallback"
c076,section,p224,p225,~1120tok,"ch7 EXTENSION; page-bounded slice at §-boundary, <=fallback"
c077,section,p226,p227,~1120tok,"ch7 EXTENSION; page-bounded slice at §-boundary, <=fallback"
c078,section,p228,p229,~1120tok,"ch7 EXTENSION; page-bounded slice at §-boundary, <=fallback"
c079,section,p230,p231,~1120tok,"ch7 EXTENSION; page-bounded slice at §-boundary, <=fallback"
c080,section,p232,p233,~1120tok,"ch7 EXTENSION; page-bounded slice at §-boundary, <=fallback"
c081,section,p234,p235,~1120tok,"ch7 EXTENSION; page-bounded slice at §-boundary, <=fallback"
c082,section,p236,p237,~1120tok,"ch7 EXTENSION; page-bounded slice at §-boundary, <=fallback"
c083,section,p238,p239,~1120tok,"ch7 EXTENSION; page-bounded slice at §-boundary, <=fallback"
c084,section,p240,p241,~1120tok,"ch7 EXTENSION; page-bounded slice at §-boundary, <=fallback"
c085,section,p242,p243,~1120tok,"ch7 EXTENSION; page-bounded slice at §-boundary, <=fallback"
c086,convention,p103,p173,~221tok x172,ONE keyword_entry per chunk; cut at each centered ALLCAPS entry header; 172 units
